195.245.221.112 - - [18/Mar/2020:11:46:31 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:46:31 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:46:31 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:46:31 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:46:31 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:46:34 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:46:34 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:46:34 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:46:34 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:46:34 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:46:34 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:46:34 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:46:37 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:46:37 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:46:37 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:46:37 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:46:37 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:46:37 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:46:37 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:46:37 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:46:37 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:46:37 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:46:37 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:46:37 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:46:37 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:46:37 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:46:37 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:46:37 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:46:37 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:46:46 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:46:46 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:46:46 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:46:46 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:46:46 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:47:07 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:47:10 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:47:10 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:47:10 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:47:10 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:47:10 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:47:10 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:47:10 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:47:11 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:47:11 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:47:11 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:47:11 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:47:11 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:47:11 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:47:14 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:47:14 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:47:14 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:47:14 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:47:14 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:47:14 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:47:14 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:47:14 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:47:14 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:47:14 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:47:14 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:47:14 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:47:14 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:47:14 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:47:14 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:47:14 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:47:17 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:47:17 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:47:17 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
